Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
b-j-askew,2008,TampaBayBuccaneers,10,7,14,2,3,2,6,85.71,0,0,0
b-j-askew,2009,TampaBayBuccaneers,5,1,0,0,0,0,0,0,0,0,0
b-j-askew,TOTAL,--,83,35,116,3.3,42,2,12,34.29,0,0,0
bennie-aldridge,1950,NewYorkYanks,11,16,69,4.3,0,0,0,0,0,0,0
bennie-aldridge,1951,NewYorkYanks,12,0,0,0,0,0,0,0,0,0,0
bennie-aldridge,1952,SanFrancisco49ers,1,0,0,0,0,0,0,0,0,0,0
bennie-aldridge,1953,GreenBayPackers,8,0,0,0,0,0,0,0,0,0,0
bennie-aldridge,TOTAL,--,32,16,69,4.3,0,0,0,0,0,0,0
bill-anderson,1958,WashingtonRedskins,12,0,0,0,0,0,0,0,0,0,0
bill-anderson,1959,WashingtonRedskins,11,0,0,0,0,0,0,0,0,0,0
bill-anderson,1960,WashingtonRedskins,12,1,6,6,0,0,0,0,0,0,0
bill-anderson,1961,WashingtonRedskins,14,3,5,1.7,0,0,0,0,0,0,0
bill-anderson,1962,WashingtonRedskins,12,0,0,0,0,0,0,0,0,0,0
bill-anderson,1963,WashingtonRedskins,13,0,0,0,0,0,0,0,0,0,0
bill-anderson,1965,GreenBayPackers,14,0,0,0,0,0,0,0,0,0,0
bill-anderson,1966,GreenBayPackers,10,0,0,0,0,0,0,0,0,0,0
bill-anderson,TOTAL,--,98,4,11,2.8,0,0,0,0,0,0,0
billy-anderson-2,1953,ChicagoBears,12,0,0,0,0,0,0,0,0,0,0
billy-anderson-2,1954,ChicagoBears,7,3,8,2.7,0,0,0,0,0,0,0
billy-anderson-2,TOTAL,--,19,3,8,2.7,0,0,0,0,0,0,0
billy-atkins,1958,SanFrancisco49ers,12,1,5,5,0,0,0,0,0,0,0
billy-atkins,1959,SanFrancisco49ers,11,0,0,0,0,0,0,0,0,0,0
billy-atkins,1960,BuffaloBills,14,2,47,23.5,0,0,0,0,0,0,0
billy-atkins,1961,BuffaloBills,14,2,87,43.5,0,1,0,0,0,0,0
billy-atkins,1962,NewYorkTitans,7,0,0,0,0,0,0,0,0,0,0
billy-atkins,1963,BuffaloBills,2,0,0,0,0,0,0,0,0,0,0
